category,categories_all,media_tags,name,gen_pop_reach,all_reach,dem_reach,rep_reach
Home And Garden,Home And Garden,,Jackie Aina,0.0046668929402637,0.0036969819183975,0.0043437790878063,0.0022130647130647
News Media,News Media,journalist,Jackie Calmes,0.0001333397982932,0.0042011158163608,0.0054917778467266,0.0023656898656898
Music||Latino ,Music||Latino ,,Jackie Cruz,0.0027516485647788,0.0019493177387914,0.0022339435308718,0.0011065323565323
News Media,News Media,journalist,Jackie Kucinich,0.0003878975950349,0.0075956173959803,0.0091219360843934,0.0062957875457875
Politics / Government,Politics / Government,politician,Jackie Speier,0.0008727695888285,0.0067553942327082,0.0080980452994104,0.0036248473748473
Politics / Government,Politics / Government,politician,Jackie Walorski,0.0001333397982932,0.0015796195469516,0.0008687558175612,0.0028998778998779
Esports / Video Games,Esports / Video Games,,Jacksepticeye,0.0106793056633048,0.0046044229347314,0.0046540490226497,0.0054563492063492
Music||Singers/Songwriters,Music||Singers/Songwriters|Music||Uncategorized,,Jackson Browne,0.0008000387897595,0.0015124016938898,0.0016444306546695,0.0009157509157509
Politics / Government,Politics / Government,politician,Jacky Rosen,0.0004485065942591,0.0036969819183975,0.0046230220291653,0.0020985958485958
Fashion / Beauty,Fashion / Beauty,,Jaclyn Hill,0.0107035492629945,0.0036297640653357,0.0037232392181197,0.0041971916971916
News Media,News Media,journalist,Jacob Kornbluh,0.0003878975950349,0.004133897963299,0.0045609680421967,0.002518315018315
